paired,alc,base_recall,base_prec,base_prc,base_si,base_n,attack_recall,attack_prec,attack_prc,attack_si,attack_n,base_prec_as_sampled,attack_prec_as_sampled,alc_as_sampled,alc_low,alc_high,base_si_low,base_si_high,attack_si_low,attack_si_high,secret_column,known_columns,num_known_columns,base_count,attack_count,halt_code,elapsed_time
True,0.9823,0.7567,0.2856,0.2856,0.1163,227,0.7567,0.9873,0.9873,0.0237,227,0.2819,0.9956,0.9938,0.9626,0.999,0.2274,0.3437,0.9755,0.9992,t1,"[""f1"", ""i2""]",2,300,300,extreme_high,3.7466
True,0.9823,0.7567,0.2856,0.2856,0.1163,227,0.7567,0.9873,0.9873,0.0237,227,0.2819,0.9956,0.9938,0.9626,0.999,0.2274,0.3437,0.9755,0.9992,t1,"[""f1"", ""i2""]",2,300,300,extreme_high,3.7466
True,0.9844,0.8467,0.2712,0.2712,0.1083,254,0.8467,0.9887,0.9887,0.0213,254,0.2677,0.9961,0.9946,0.9674,0.9991,0.217,0.3253,0.978,0.9993,t1,"[""f1"", ""i2""]",2,300,300,extreme_high,3.7466
True,0.9844,0.8467,0.2712,0.2712,0.1083,254,0.8467,0.9887,0.9887,0.0213,254,0.2677,0.9961,0.9946,0.9674,0.9991,0.217,0.3253,0.978,0.9993,t1,"[""f1"", ""i2""]",2,300,300,extreme_high,3.7466
True,0.9865,0.9633,0.2627,0.2627,0.1006,289,0.9633,0.99,0.99,0.0187,289,0.2595,0.9965,0.9953,0.9719,0.9992,0.2124,0.313,0.9807,0.9994,t1,"[""f1"", ""i2""]",2,300,300,extreme_high,3.7466
True,0.9865,0.9633,0.2627,0.2627,0.1006,289,0.9633,0.99,0.99,0.0187,289,0.2595,0.9965,0.9953,0.9719,0.9992,0.2124,0.313,0.9807,0.9994,t1,"[""f1"", ""i2""]",2,300,300,extreme_high,3.7466
True,0.9824,0.9967,0.2639,0.2639,0.0991,299,0.9967,0.9871,0.9871,0.0222,299,0.2609,0.9933,0.991,0.965,0.9977,0.2144,0.3135,0.9759,0.9982,t1,"[""f1"", ""i2""]",2,300,300,extreme_high,3.7466
True,0.9824,0.9967,0.2639,0.2639,0.0991,299,0.9967,0.9871,0.9871,0.0222,299,0.2609,0.9933,0.991,0.965,0.9977,0.2144,0.3135,0.9759,0.9982,t1,"[""f1"", ""i2""]",2,300,300,extreme_high,3.7466
True,0.9825,1.0,0.263,0.263,0.0988,300,1.0,0.9871,0.9871,0.0221,300,0.26,0.9933,0.991,0.9651,0.9977,0.2136,0.3124,0.976,0.9982,t1,"[""f1"", ""i2""]",2,300,300,extreme_high,3.7466
True,0.9825,1.0,0.263,0.263,0.0988,300,1.0,0.9871,0.9871,0.0221,300,0.26,0.9933,0.991,0.9651,0.9977,0.2136,0.3124,0.976,0.9982,t1,"[""f1"", ""i2""]",2,300,300,extreme_high,3.7466
False,0.9865,0.9967,0.2639,0.2639,0.0991,299,0.9633,0.99,0.99,0.0187,289,0.2609,0.9965,0.9953,0.9718,0.9992,0.2144,0.3135,0.9807,0.9994,t1,"[""f1"", ""i2""]",2,300,300,extreme_high,3.7466
True,-2.8189,1.0,0.9906,0.9906,0.0188,200,0.27,0.9668,0.964,0.0664,54,1.0,1.0,-287291.0562,-6909569.7356,0.8476,0.9812,1.0,0.9336,1.0,t1,"[""i1""]",1,200,200,no_improve_all_sig,2.0303
True,-2.8189,1.0,0.9906,0.9906,0.0188,200,0.27,0.9668,0.964,0.0664,54,1.0,1.0,-287291.0562,-6909569.7356,0.8476,0.9812,1.0,0.9336,1.0,t1,"[""i1""]",1,200,200,no_improve_all_sig,2.0303
True,-0.8899,1.0,0.9906,0.9906,0.0188,200,0.53,0.9825,0.9822,0.035,106,1.0,1.0,-32751.4921,-3528881.8869,0.9826,0.9812,1.0,0.965,1.0,t1,"[""i1""]",1,200,200,no_improve_all_sig,2.0303
True,-0.8899,1.0,0.9906,0.9906,0.0188,200,0.53,0.9825,0.9822,0.035,106,1.0,1.0,-32751.4921,-3528881.8869,0.9826,0.9812,1.0,0.965,1.0,t1,"[""i1""]",1,200,200,no_improve_all_sig,2.0303
True,-0.8899,1.0,0.9906,0.9906,0.0188,200,0.53,0.9825,0.9822,0.035,106,1.0,1.0,-32751.4921,-3528881.8869,0.9826,0.9812,1.0,0.965,1.0,t1,"[""i1""]",1,200,200,no_improve_all_sig,2.0303
True,-0.2692,1.0,0.9906,0.9906,0.0188,200,0.785,0.9881,0.988,0.0239,157,1.0,1.0,-1814.5335,-2390122.3035,0.999,0.9812,1.0,0.9761,1.0,t1,"[""i1""]",1,200,200,no_improve_all_sig,2.0303
True,-0.2692,1.0,0.9906,0.9906,0.0188,200,0.785,0.9881,0.988,0.0239,157,1.0,1.0,-1814.5335,-2390122.3035,0.999,0.9812,1.0,0.9761,1.0,t1,"[""i1""]",1,200,200,no_improve_all_sig,2.0303
True,-0.2692,1.0,0.9906,0.9906,0.0188,200,0.785,0.9881,0.988,0.0239,157,1.0,1.0,-1814.5335,-2390122.3035,0.999,0.9812,1.0,0.9761,1.0,t1,"[""i1""]",1,200,200,no_improve_all_sig,2.0303
True,0.0,1.0,0.9906,0.9906,0.0188,200,1.0,0.9906,0.9906,0.0188,200,1.0,1.0,0.0,-1884531.6283,1.0,0.9812,1.0,0.9812,1.0,t1,"[""i1""]",1,200,200,no_improve_all_sig,2.0303
True,0.0,1.0,0.9906,0.9906,0.0188,200,1.0,0.9906,0.9906,0.0188,200,1.0,1.0,0.0,-1884531.6283,1.0,0.9812,1.0,0.9812,1.0,t1,"[""i1""]",1,200,200,no_improve_all_sig,2.0303
False,0.0,1.0,0.9906,0.9906,0.0188,200,1.0,0.9906,0.9906,0.0188,200,1.0,1.0,0.0,-1884531.6283,1.0,0.9812,1.0,0.9812,1.0,t1,"[""i1""]",1,200,200,no_improve_all_sig,2.0303
